filename	title	artist	place	date	caption	description	permalink	image_url
2002700113.jpg	[Village scene in Japan showing people engaged in various activities]		Japan		Japanese print shows activities including: tilling soil, poling boats, talking, riding on horseback, and riding in a rickshaw.	- Title devised by Library staff. - Single panel of a triptych. Two other panels, including one with title and other information, are missing. - Annotations, stamps, etc. on verso of print: 183; 47623a. - Earlier control number: 10. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - City & town life--Japan--1860-1880 - Rickshaws--Japan--1860-1880 - Horseback riding--Japan--1860-1880 - Boats--Japan--1860-1880 - Farming--Japan--1860-1880 - Conversation--1860-1880 Woodcuts--Japanese--Color--1860-1880. Woodcuts--Japanese--Color--1860-1880 1 print on hōsho paper : woodcut, color ; 35 x 23 cm. (block), 35.6 x 23 cm. (sheet)	https://www.loc.gov/item/2002700113/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10372r.jpg
2002700349.jpg	Kita-Amerika kyōwa seiji-shū jōkan shinzō no utsushi			1854	Japanese print shows an American military officer (probably Captain Henry Adams).	- Title from item. - Annotation in pencil on mount: (1) Envoy plenipotentiary Navy Commodore Matthew C. Perry. (2) Actual portrait of an officer, Republic of North America. (3) Done at the time of the reception at Yokohama. (4) An American officer of Perry's Expedition (not Perry) ca. 1854 by an anonymous artist. Unquestionably it is Captain Adams. Information furnished by Commander Davis. - Annotations, stamps, etc. on verso of print: 1; LC 2585; 47623a (white label). - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Military officers--American--1850-1860 Portrait prints--Japanese--1850-1860. Woodcuts--Japanese--1850-1860. Portrait prints--Japanese--1850-1860 Woodcuts--Japanese--1850-1860 1 print on hōsho paper : woodcut, b&w ; 28.5 x 21 cm. (block), 31.8 x 23.4 cm. (sheet)	https://www.loc.gov/item/2002700349/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10386r.jpg
2002700239.jpg	Gokakoku ... gankirō ni oite sakamori no zu	Ochiai, Yoshiiku, 1833-1904, artist	Japan Yokohama	1860	Japanese triptych print shows visitors from several nations enjoying a party in the Fan Room of the Gankirō.	- Caption label from exhibit "Floating World," Japan and the West, Artistic Cross-Fertilization section: A Drinking Party. This triptych depicts foreigners drinking at the Gankirô Tea House, a famous pleasure-seeking place for foreign merchants in Yokohama. People from the five treaty nations England, France, Russia, Holland, and the United States were popular subject matter for Yokohama artists. The five countries were often expanded to six to include China (here refered to as Nanking), a longtime trade partner with Japan. The artist of this print, Ochiai Yoshiiku (1833-1904), was the son of a tea house proprietor in Asakusa. - Title from item. - Signature: Ikkeisai Yoshiiku ga. - Engraving attributed to: Hori Take. - Seal date: Monkey 12. - Triptych in 3 sections (matted together): right (101a), center (101b), left (101c). - Annotations, stamps, etc. on verso of print: 75; 47623a (white label). - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 59 (p. 149) - The Floating world of Ukiyo-e: shadows, dreams and substance / essays by Sandy Kita ... [et al.]. New York: Harry N. Abrams, in association with the Library of Congress, 2001, no. 106, p. 171 - Earlier control number: 9942.1-7. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Exhibited: "The Floating world of Ukiyo-e: shadows, dreams and substances," organized by the Library of Congress, 2001. - Exhibited: "Steeped in History : The Art of Tea" at the Fowler Museum, University of California, Los Angeles, 2009. - Foreign visitors--Japan--Yokohama-shi--1860 - Entertainment--Japan--Yokohama-shi--1860 - Courtesans--Japan--Yokohama-shi--1860 - Eating & drinking--Japan--Yokohama-shi--1860 - Teahouses--Japan--Yokohama-shi--1860-1870 Triptychs--Japanese--1860. Woodcuts--Japanese--Color--1860. Triptychs--Japanese--1860 Woodcuts--Japanese--Color--1860 1 print on hōsho paper (3 sheets) : woodcut, color ; 36.5 x 24.5 cm. (each block), 37 x 24.8 cm. (each sheet)	https://www.loc.gov/item/2002700239/	https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g08000/3g08400/3g08479r.jpg
2002700242.jpg	Gaikoku jinbutsu zuga - Nankin, Furansu	Ochiai, Yoshiiku, 1833-1904, artist	Japan		Japanese print shows a Frenchman holding a goblet seated on a chair, a Chinese man stands next to him; includes description, in Japanese, of both countries on recto of print.	- Title from item. - Signature: Ikkeisai Yoshiiku ga. - Seal date: Cock 2. - From series entitled: Gaikoku jinbutsu zuga (People from foreign lands). - Annotations, stamps, etc. on verso of print: 78-47623a. - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 35 (p. 114) - Earlier control number: 9942.1-10. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Eating & drinking--Japan--1860-1870 - Conversation--Japan--1860-1870 - Men--Japan--1860-1870 - Foreign visitors--French--Japan--1860-1870 - Foreign visitors--Chinese--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 32.5 x 22 cm. (block), 36 x 24.8 cm. (sheet)	https://www.loc.gov/item/2002700242/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10534r.jpg
2002700246.jpg	Gaikoku jinbutsu zuga - Oroshia, Amerika nyonin	Ochiai, Yoshiiku, 1833-1904, artist	Japan		Japanese print shows the clothing styles of Russian men, and an American woman.	- Title from item. - Signature: Ikkeisai Yoshiiku ga. - Seal date: Cock 2. - From series entitled: Gaikoku jinbutsu zuga (Portraits of foreigners). - Annotations, stamps, etc. on verso of print: 72-; 47623a (white label); 44. - Earlier control number: 9942.1-4. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Russians--Clothing & dress--Japan--1860-1870 - Americans--Clothing & dress--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 22 x 33 cm. (block), 22.4 x 34.5 cm. (sheet)	https://www.loc.gov/item/2002700246/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10533r.jpg
2002700124.jpg	Kōmōjin no zu: Kurobō		Japan		Japanese print shows red-haired man in uniform standing holding a pipe looking down at dark-skinned attendant carrying a tray.	- Title from item. - Annotation in pencil on back mount: Nagasaki print. - Annotations, stamps, etc. on verso of print: 166; 47623a (white label); LC2585. - Earlier control number: 236.3-14. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Military officers--American--1850-1900 - Servants--Japan--1850-1900 Woodcuts--Japanese--Color--1850-1900. Woodcuts--Japanese--Color--1850-1900 1 print on hōsho paper : woodcut, color ; 37.5 x 14 cm. (block), 42.2 x 15 cm. (sheet)	https://www.loc.gov/item/2002700124/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10385r.jpg
2002700250.jpg	Mōko no shashin	Ochiai, Yoshiiku, 1833-1904, artist	Japan		Japanese print shows a leopard that has caught a rooster; a bust portrait of a foreign woman in the upper left corner.	- Title from item. - Signature: Ikkeisai Yoshiiku ga (with pawlonia seal). - Seal date: Monkey 7. - Unidentified Japanese writing on verso and unidentified publisher's seal. - Annotations, stamps, etc. on verso of print: 71; 47623a. - Earlier control number: 9942.1-3. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Leopards--Japan--1860 - Roosters--Japan--1860 Woodcuts--Japanese--Color--1860. Woodcuts--Japanese--Color--1860 1 print on hōsho paper : woodcut, color ; 34.5 x 24 cm. (block), 34.5 x 24 cm. (sheet)	https://www.loc.gov/item/2002700250/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10551r.jpg
2002700251.jpg	Shindo hakurai ōzō no zu	Ochiai, Yoshiiku, 1833-1904, artist	Japan		Japanese print shows an elephant with caretaker.	- Title from item. - Signature: Chokaro Yoshiiku ga. - Seal date: Boar 4. - Annotations, stamps, etc. on verso of print: 77; 47623a. - Inscriptions: (To be exhibited in Ryogoku, Tokyo in March). - Earlier control number: 9942.1-8. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Elephants--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 36 x 25.5 cm. (block), 36.5 x 25.5 cm. (sheet)	https://www.loc.gov/item/2002700251/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10537r.jpg
2002700252.jpg	Amerika	Utagawa, Yoshikazu, active 1848-1863, artist	Japan		Japanese print shows an American soldier on horseback.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Dog 10. - Annotations, stamps, etc. on verso of print: 86; 47623a. - Earlier control number: 9942.25-7. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Horseback riding--Japan--1860-1870 - Military personnel--American--Japan--1860-1870 Woodcuts--Japanese--Color--1860-1870. Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper : woodcut, color ; 34 x 23 cm. (block), 36.5 x 25.2 cm. (sheet)	https://www.loc.gov/item/2002700252/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10550r.jpg
2002700255.jpg	Amerikakoku jōkisenchū no zu	Utagawa, Yoshikazu, active 1848-1863, artist	Japan		Japanese triptych print shows a cutaway view of an American steamship with group of passengers seated around a table below deck at mealtime, also shows activities on deck.	- Title from item. - Signature: Issen Yoshikazu ga. - Seal date: Cock 4. - Triptych matted in 3 sections: right (115a), center (115b), left (115c). - Annotations, stamps, etc. on verso of print: 89; 47623a. - Yokohama : prints from nineteenth-century Japan / Ann Yonemura. Washington, D.C. : Arthur M. Sackler Gallery : Smithsonian Institution Press, c1990, no. 10 (p. 69) - Earlier control number: 9942.25-9. - Gift; Mrs. E. Crane Chadbourne; 1930; (DLC/PP-1930:47623a). - Forms part of: Chadbourne collection of Japanese prints (Library of Congress). - Dining rooms--Japan--1860-1870 - Passenger quarters--1860-1870 - Eating & drinking--Japan--1860-1870 - Ships--American--Japan--1860-1870 Triptychs--Japanese--1860-1870. Woodcuts--Japanese--Color--1860-1870. Triptychs--Japanese--1860-1870 Woodcuts--Japanese--Color--1860-1870 1 print on hōsho paper (3 sheets) : woodcut, color ; 35.9 x 24.4 cm. (each block), 37.2 x 25.6 cm. (each sheet)	https://www.loc.gov/item/2002700255/	https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10539r.jpg
