filename	title	artist	place	date	caption	description	permalink	image_url
44841.jpg	Death of the Historical Buddha (Nehan-zu)		Japan	14th century	Essential tenets of Buddhism are explicit in paintings of the Buddha Shakyamuni’s nirvana, his passing from earthly life to the ultimate goal of an enlightened being: release from the bonds of existence through negation of desires that cause life’s intrinsic suffering. Facing westward in a final trance after a long life of teaching, the golden body of the Buddha bears the marks of his enlightened nature. Short curls covering his head indicate his ascetic life, while elongated earlobes adorned with heavy jewelry reflect his birth as a prince. A cranial protuberance and a circle of light between his brows attest to his penetrating wisdom.Those witnessing the Buddha’s passing from earthly life reveal their own imperfect level of enlightenment in the extent of their grief. Bodhisattvas, who have achieved the spiritual enlightenment of Buddhahood, show a solemn serenity. Except for the Bodhisattva Jizō, who appears as a monk holding a jewel near the center of the bier, these deities are envisioned in princely raiment covering their golden bodies. Shaven-headed disciples weep bitterly, as do the multi-limbed Hindu deities and guardians who have been converted to the Buddha’s teaching. Men and women of every class, joined by more than thirty animals, grieve in their imperfect understanding of the Buddhist ideal. Even the blossoms of the sala trees change hue, as Queen Maya, mother of the Buddha, descends weeping from upper right.	涅槃図 Title: Death of the Historical Buddha (Nehan-zu) Period: Kamakura period (1185–1333) Date: 14th century Culture: Japan Medium: Hanging scroll; ink, color, and gold on silk Dimensions: Image: 77 1/2 × 74 1/4 in. (196.9 × 188.6 cm)Overall with mounting: 10 ft. 10 in. × 77 1/2 in. (330.2 × 196.9 cm)Overall with knobs: 10 ft. 10 in. × 86 1/4 in. (330.2 × 219.1 cm) Classification: Paintings Credit Line: Rogers Fund, 1912 Object Number: 12.134.10	https://www.metmuseum.org/en/art/collection/search/44841	https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15580-019.jpg
45596.jpg	Monju Bosatsu with Eight Sacred Sanskrit Syllables		Japan	mid- to late 14th century	Monju (Sanskrit: Manjushri), the Bodhisattva of Wisdom, is seated on a lion against an ovoid nimbus edged with flames. He wears a crown decorated with eight miniature Buddhas and holds a sword and a long stemmed lotus flower supporting a vajra—a pronged implement with origins in Indian weaponry. In other manifestations of the bodhisattva, Monju’s lotus typically supports a Buddhist scripture, but here the vajra is an emblem of wisdom. Monju is surrounded by eight Sanskrit seed syllables, or sacred utterances symbolizing the eight guardian youths) from a mantra invoking him. Inscribed in the upper part of the painting is a verse praising Monju, dated to 1371 on the day following the arrival of winter. It says, “In the past, you were the bodhisattva Ryūshu, and in the future, you will become the Buddha Fuken, the patriarch of the Seven Buddhas, the mother who gives rise to wisdom [the Buddha], Great Master Monju!” The painting would have been used in rituals performed for the purpose of warding off natural disasters, and is said to have belonged to the temple Daigoji near Kyoto.	八字文殊菩薩像 Title: Monju Bosatsu with Eight Sacred Sanskrit Syllables Period: Nanbokuchō period (1336–92) Date: mid- to late 14th century Culture: Japan Medium: Hanging scroll; ink and color on silk Dimensions: Overall: 40 7/8 x 25 1/8 in. (103.8 x 63.8 cm) Classification: Paintings Credit Line: Rogers Fund, 1912 Object Number: 12.134.15	https://www.metmuseum.org/en/art/collection/search/45596	https://images.metmuseum.org/CRDImages/as/mobile-large/DP215096.jpg
45598.jpg	Welcoming Descent of the Bodhisattva Jizō		Japan	early 14th century	In addition to Amida Buddha, compassionate bodhisattvas such as Kannon and Jizō are also represented in welcoming descent, or raigō. Images of Jizō’s raigō originated in the Kamakura period and are often associated with practices at Kasuga Shrine in Nara (Japan’s ancient capital), where Jizō is one of the primary Buddhist deities of worship.	地蔵来迎図 Title: Welcoming Descent of the Bodhisattva Jizō Period: Kamakura (1185–1333) Date: early 14th century Culture: Japan Medium: Hanging scroll; ink, color, gold, and cut gold leaf (kirikane) on silk Dimensions: Image: 42 in. × 15 7/8 in. (106.7 × 40.3 cm)Overall with mounting: 81 1/4 × 22 3/8 in. (206.4 × 56.8 cm)Overall with knobs: 81 1/4 × 24 1/2 in. (206.4 × 62.2 cm) Classification: Paintings Credit Line: Fletcher Fund, 1925 Object Number: 25.215.102	https://www.metmuseum.org/en/art/collection/search/45598	https://images.metmuseum.org/CRDImages/as/mobile-large/DP341222.jpg
45428.jpg	Illustrated Legends of the Kitano Tenjin Shrine (Kitano Tenjin engi emaki)		Japan	late 13th century	An ancient Shinto belief that the unpredictable, calamitous forces of nature are animated by tormented human spirits (onryō) underlies the legendary origin of the Kitano Tenjin shrine, dedicated to Sugawara Michizane (845–903). Michizane was a distinguished scholar, poet, and statesman who died in exile, having been slandered by enemies at court.After his death, a series of extraordinary natural disasters and plagues caused the untimely deaths of his detractors. In an attempt to appease his vengeful spirit, he was posthumously pardoned and promoted to high office, but the disasters continued. In 942, Michizane’s spirit revealed his wish to be honored at a shrine dedicated to the thunder god in the northwestern section of the capital. He was deified as Tenjin, an ancient god of agriculture and patron of the falsely accused. Later, perhaps because poems were offered to him at the shrine, he came to be venerated as the Shinto god of literature and music. Among the more than thirty extant sets of handscrolls recounting Michizane’s life and the events leading to the establishment of the Tenjin cult, this version is second in age and quality only to the early thirteenth-century treasure in the main Kitano Tenjin shrine in Kyoto.The minister who had slandered Michizane took ill. He had a Buddhist monk chant mantras to dispel his sickness. When the monk did so, two blue dragons came out of the minister’s ears and announced Michizane’s intent to avenge his wrongful exile and death. Shortly thereafter, the minister fell dead. Despite the unpleasant event depicted in the scene, the scroll’s painter included a nicely executed painting-within-a painting of an early type of yamato-e (Japanese-style painting) landscape screen favored by the well-to-do. The rectilinear shapes on two of the panels are meant to indicate beautifully decorated papers, with poems praising the landscape in fine calligraphy.According to legend, Michizane was not born of human parents but miraculously appeared one day as a grown boy of five or six years of age in the garden of a courtier-scholar. The boy declared this courtier to be his father. The scene is depicted here, on the verandah of the courtier’s mansion. Ladies of the residence peek out at the curious pair. Though the related text is missing, the next painting here shows Michizane as a young man composing a poem at the request of the emperor. His foster father, himself a celebrated poet, looks on proudly.	北野天神縁起絵巻 Title: Illustrated Legends of the Kitano Tenjin Shrine (Kitano Tenjin engi emaki) Period: Kamakura period (1185–1333) Date: late 13th century Culture: Japan Medium: Set of five handscrolls; ink, color, and cut gold leaf (kirikane) on paper Dimensions: a: 11 5/16 in. × 22 ft. 7 7/16 in. (28.8 × 689.4 cm)b: 11 5/16 in. × 25 ft. 3/8 in. (28.8 × 763 cm)c: 11 5/16 x 274 1/8 in. (28.8 x 696.3 cm)d: 11 5/16 x 224 15/16 in. (28.8 x 571.4 cm)e: 11 5/16 x 352 3/16 in. (28.8 x 894.5 cm) Classification: Paintings Credit Line: Fletcher Fund, 1925 Object Number: 25.224a–e	https://www.metmuseum.org/en/art/collection/search/45428	https://images.metmuseum.org/CRDImages/as/mobile-large/DP244667_CRD.jpg
44983.jpg	Taima Mandala		Japan	probably late 14th century	This Taima mandala offers a resplendent vision of the Western Pure Land, a paradise over which Amida presides and to which he welcomes all beings who call upon his name. Amida sits enthroned at the center of the mandala, flanked by the bodhisattvas Seishi and Kannon and surrounded by throngs of musicians, dancers, celestial beings, and pavilions adorned with jewels. In the lower foreground is a lotus pond in which the faithful are reborn. Surrounding this scene are vignettes from the Contemplation Sutra that teach the living how to attain salvation. Mandalas of this type are based on Tang-dynasty Chinese images that were transmitted to Japan along with Pure Land Buddhist teachings during the Nara period (710–94). The earliest Japanese version is an eighth-century brocade approximately four times larger than the present mandala, and the primary object of worship at the Taima-dera Temple in Nara. The Museum’s Taima mandala was once worshipped at Shinzenkōji, a temple originally located in western Kyoto.	當麻曼荼羅図 Title: Taima Mandala Period: Nanbokuchō period (1336–92) Date: probably late 14th century Culture: Japan Medium: Hanging scroll; color and gold on silk Dimensions: Image: 52 1/2 in. × 48 in. (133.4 × 121.9 cm)Overall with mounting: 98 1/4 × 57 7/8 in. (249.6 × 147 cm)Overall with knobs: 98 1/4 × 60 3/8 in. (249.6 × 153.4 cm) Classification: Paintings Credit Line: Fletcher Fund, 1927 Object Number: 27.176.2	https://www.metmuseum.org/en/art/collection/search/44983	https://images.metmuseum.org/CRDImages/as/mobile-large/DP341231.jpg
45597.jpg	Miroku Bosatsu		Japan	14th century	Miroku Bosatsu (Sanskrit: Maitreya Bodhisattva), the future Buddha, resides in the Tushita heaven, awaiting rebirth on earth. He usually has a princely appearance and holds a stupa. Legends say that Vasubandhu and Asanga, the great Indian philosophers of the Hossō sect, received teachings directly from Miroku Bosatsu. Shell powder was not used to build up the surface underneath the application of gold, suggesting that the painting was probably produced at the end of the Kamakura period, before that practice became prevalent.	弥勒菩薩像 Title: Miroku Bosatsu Period: Kamakura period (1185–1333) Date: 14th century Culture: Japan Medium: Hanging scroll; ink, color, and gold on silk Dimensions: Image: 42 in. × 18 1/2 in. (106.7 × 47 cm)Overall with mounting: 80 in. × 26 1/4 in. (203.2 × 66.7 cm)Overall with knobs: 28 1/8 in. (71.4 cm) Classification: Paintings Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 Object Number: 29.100.462	https://www.metmuseum.org/en/art/collection/search/45597	https://images.metmuseum.org/CRDImages/as/mobile-large/DT278545.jpg
45236.jpg	The Bodhisattva Monju (Manjushri) with Five Topknots		Japan	13th century	This variant form of the bodhisattva Monju, a deity associated with wisdom, is called Monju with Five Topknots (Gokei Monju). Imagined as a boy sitting cross-legged on a lotus pedestal, he holds his usual attributes: a sword and sacred text. A pair of Sanskrit letters above him stands for Dainichi, the buddha at the center of the Buddhist cosmos.	五髻文殊菩薩像 Title: The Bodhisattva Monju (Manjushri) with Five Topknots Period: Kamakura period (1185–1333) Date: 13th century Culture: Japan Medium: Hanging scroll; ink and color on silk Dimensions: Image: 36 3/4 × 20 3/4 in. (93.3 × 52.7 cm)Overall with mounting: 79 3/4 × 29 1/2 in. (202.6 × 74.9 cm)Overall with knobs: 31 1/2 in. (80 cm) Classification: Paintings Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 Object Number: 29.100.466	https://www.metmuseum.org/en/art/collection/search/45236	https://images.metmuseum.org/CRDImages/as/mobile-large/DP-12377-002.jpg
45369.jpg	Shaka (Shakyamuni) Triad		Japan	13th century	This painting shows Shaka in his fully enlightened state, enthroned and flanked by his bodhisattva attendants: Monju (Manjushri), riding a golden lion, and Fugen (Samantabhadra), riding a white elephant. Serving as the Buddha's active agents in this world, Monju stands for the wisdom of Buddhism and Fugen for its practice, particularly meditation and teaching. The pyramidal arrangement of the figures, with the transcendent Shaka at its apex and axis, projects the enduring nature of the faith. The subtle contrast between the broad-shouldered stasis of the Buddha and the animation of the bodhisattvas and their mounts is a pleasing visual interpretation of the theological meaning of the iconography. This straightforward yet richly painted icon reflects the revival of older Buddhist sects that accompanied the reform of mainstream Buddhism during the Kamakura period.	釈迦三尊像 Title: Shaka (Shakyamuni) Triad Period: Kamakura period (1185–1333) Date: 13th century Culture: Japan Medium: Hanging scroll; ink, color, and gold on silk Dimensions: Image: 42 1/4 x 22 3/4 in. (107.3 x 57.8 cm)Overall with mounting: 86 x 31 1/2 in. (218.4 x 80 cm)Overall with knobs: 86 x 33 3/4 in. (218.4 x 85.7 cm) Classification: Paintings Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 Object Number: 29.100.469	https://www.metmuseum.org/en/art/collection/search/45369	https://images.metmuseum.org/CRDImages/as/mobile-large/DP231179.jpg
45370.jpg	Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den)		Japan	14th century	Prince Shōtoku (574–622), a preeminent champion of Buddhism against the hereditary clans in charge of Shinto ritual, was venerated within a century after his death as an incarnation of the historical Buddha, Shakyamuni. Monks told parables about him inspired by the life of the Buddha, and episodes from his life decorated temples and shrines, aiding the spread of popular Buddhism throughout medieval Japan. This hanging scroll and its pair depict sixty-two such scenes from the prince’s life, shown neither chronologically nor in an orderly spatial sequence but instead identified by accompanying inscriptions. Although Shōtoku lived during the early seventh century, when the capital was located in Asuka, these fourteenth-century paintings depict costumed figures, festive activities, and architectural settings inspired by the Kyoto imperial court during the Heian (794–1185) and Kamakura years.	聖徳太子絵伝図 Title: Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den) Period: Kamakura period (1185–1333) Date: 14th century Culture: Japan Medium: One of two hanging scrolls; ink, color, and gold on silk Dimensions: Image: 67 5/8 x 33 1/4 in. (171.8 x 84.5 cm)Overall with mounting: 106 x 40 1/2 in. (269.2 x 102.9 cm)Overall with knobs: 106 x 43 1/4 in. (269.2 x 109.9 cm) Classification: Paintings Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 Object Number: 29.100.470	https://www.metmuseum.org/en/art/collection/search/45370	https://images.metmuseum.org/CRDImages/as/mobile-large/DP245469.jpg
45371.jpg	Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den)		Japan	14th century	Prince Shōtoku (574–622), a preeminent champion of Buddhism against the hereditary clans in charge of Shinto ritual, was venerated within a century after his death as an incarnation of the historical Buddha, Shakyamuni. Monks told parables about him inspired by the life of the Buddha, and episodes from his life decorated temples and shrines, aiding the spread of popular Buddhism throughout medieval Japan. This hanging scroll and its pair depict sixty-two such scenes from the prince’s life, shown neither chronologically nor in an orderly spatial sequence but instead identified by accompanying inscriptions. Although Shōtoku lived during the early seventh century, when the capital was located in Asuka, these fourteenth-century paintings depict costumed figures, festive activities, and architectural settings inspired by the Kyoto imperial court during the Heian (794–1185) and Kamakura years.	聖徳太子絵伝図 Title: Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den) Period: Kamakura period (1185–1333) Date: 14th century Culture: Japan Medium: One of two hanging scrolls; ink, color, and gold on silk Dimensions: Overall: 67 5/8 x 33 1/4in. (171.8 x 84.4cm)Overall with mounting: 106 x 40 1/2 in. (269.2 x 102.9 cm)Overall with knobs: 106 x 43 1/4 in. (269.2 x 109.9 cm) Classification: Paintings Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 Object Number: 29.100.471	https://www.metmuseum.org/en/art/collection/search/45371	https://images.metmuseum.org/CRDImages/as/mobile-large/DP245464.jpg
