filename	title	artist	place	date	caption	description	permalink	image_url
bb754xy4537_8551_4A_PM.jpg	Adobe 1990 #3	Douglas Menuez		1990	Painter David Hockney's pet dachshund at the Adobe Art Directors Invitational.		https://purl.stanford.edu/bb754xy4537	https://stacks.stanford.edu/image/iiif/bb754xy4537/8551_4A_PM/full/full/0/default.jpg
bc419vk0641_73029_08_PM.jpg	Adobe 1991	Douglas Menuez		1991	Halloween at Adobe.		https://purl.stanford.edu/bc419vk0641	https://stacks.stanford.edu/image/iiif/bc419vk0641/73029_08_PM/full/full/0/default.jpg
bc524jp9223_25665_9A_PM.jpg	NeXT 1989	Douglas Menuez		1989-06	Lunch for NeXT and Canon executives in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.		https://purl.stanford.edu/bc524jp9223	https://stacks.stanford.edu/image/iiif/bc524jp9223/25665_9A_PM/full/full/0/default.jpg
bd208hv7576_43790_31A_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996	Brook Byers, a Kleiner Perkins partner.		https://purl.stanford.edu/bd208hv7576	https://stacks.stanford.edu/image/iiif/bd208hv7576/43790_31A_PM/full/full/0/default.jpg
bd641qy9268_88229_15_PM.jpg	Sun 1992	Douglas Menuez		1992	Venture capitalist William Hearst (right) and a colleague.		https://purl.stanford.edu/bd641qy9268	https://stacks.stanford.edu/image/iiif/bd641qy9268/88229_15_PM/full/full/0/default.jpg
bd734jd7273_42340_32A_PM.jpg	Adobe Color 1990	Douglas Menuez		1990-10	Adobe introduced Adobe Illustrator 3.0 in 1990.		https://purl.stanford.edu/bd734jd7273	https://stacks.stanford.edu/image/iiif/bd734jd7273/42340_32A_PM/full/full/0/default.jpg
bf215wc7862_8300_22A_PM.jpg	Farallon B	Douglas Menuez		1986	Farallon Computing Founder Reese Jones in conversation with a colleague.		https://purl.stanford.edu/bf215wc7862	https://stacks.stanford.edu/image/iiif/bf215wc7862/8300_22A_PM/full/full/0/default.jpg
bf618my8546_82354_11_PM.jpg	Newton Launch Boston	Douglas Menuez		1993-08	Newton support staff work late at Boston Symphony Hall sorting and making badges for the 500 international journalists , analysts and consumer electronics and computer industry insiders expected at the Newton introduction the following morning.		https://purl.stanford.edu/bf618my8546	https://stacks.stanford.edu/image/iiif/bf618my8546/82354_11_PM/full/full/0/default.jpg
bg016fy8433_0767_36A_PM.jpg	NeXT, 1986-1987	Douglas Menuez		1986	Jim Ulrich, PC board designer, Caroline Rose (in white shirt), head of developer documentation, and colleagues.		https://purl.stanford.edu/bg016fy8433	https://stacks.stanford.edu/image/iiif/bg016fy8433/0767_36A_PM/full/full/0/default.jpg
bg044vg7489_88326_19A_PM.jpg	Sun 1992	Douglas Menuez		1992	Bill Joy, Sun's co-founder and chief scientist, participating in a video conference call.		https://purl.stanford.edu/bg044vg7489	https://stacks.stanford.edu/image/iiif/bg044vg7489/88326_19A_PM/full/full/0/default.jpg
