filename,unique_id,caption,date,place,callno,archive_all,archive_series,archive_box,archive_folder,archive_sleeve,archive_frame,permalink
8220_21A_PM.tif,8220_21A_PM,,1991,,,"MSS Photo 451, Series 3, Box 8, Folder 27, Sleeve 8220, Frame 21A",3,8,27,8220,21A,https://purl.stanford.edu/ds773sy7661
8220_8A_PM.tif,8220_8A_PM,,1991,,,"MSS Photo 451, Series 3, Box 8, Folder 27, Sleeve 8220, Frame 8A",3,8,27,8220,8A,https://purl.stanford.edu/bg186gd9369
B32-F11-S2-7_PM.tif,B32-F11-S2-7_PM,,1990,,,"MSS Photo 451, Series 1, Box 32, Folder 11, Sleeve 32-11-2, Frame B32-F11-S2-7",1,32,11,32-11-2,B32-F11-S2-7,https://purl.stanford.edu/dx488fg7364
8178_14_PM.tif,8178_14_PM,,"January  8, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8178, Frame 14",3,8,26,8178,14,https://purl.stanford.edu/xc098gp3489
8184_26_PM.tif,8184_26_PM,"NeXT's Fremont, California, manufacturing facility.","January  8, 1990",Fremont (Calif.),,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8184, Frame 26",3,8,26,8184,26,https://purl.stanford.edu/dp380qs0061
8204_36A_PM.tif,8204_36A_PM,,"January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8204, Frame 36A",3,8,26,8204,36A,https://purl.stanford.edu/gx652ps4612
8220_1A_PM.tif,8220_1A_PM,,"January  8, 1990 - January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 27, Sleeve 8220, Frame 1A",3,8,27,8220,1A,https://purl.stanford.edu/hf622zk6381
8184_15_PM.tif,8184_15_PM,,"January  8, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8184, Frame 15",3,8,26,8184,15,https://purl.stanford.edu/gq426wr7996
8204_9A_PM.tif,8204_9A_PM,,"January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8204, Frame 9A",3,8,26,8204,9A,https://purl.stanford.edu/qw349yn9411
8220_30A_PM.tif,8220_30A_PM,,"January  8, 1990 - January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 27, Sleeve 8220, Frame 30A",3,8,27,8220,30A,https://purl.stanford.edu/vv758zk7405
8204_30A_PM.tif,8204_30A_PM,,"January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8204, Frame 30A",3,8,26,8204,30A,https://purl.stanford.edu/yt711vq7443
8184_21_PM.tif,8184_21_PM,,"January  8, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8184, Frame 21",3,8,26,8184,21,https://purl.stanford.edu/zb316hq5610
8204_21A_PM.tif,8204_21A_PM,,"January  9, 1990",,,"MSS Photo 451, Series 3, Box 8, Folder 26, Sleeve 8204, Frame 21A",3,8,26,8204,21A,https://purl.stanford.edu/xn674qz3869
B32-F11-S4-6_PM.tif,B32-F11-S4-6_PM,,"July 18, 1989",,,"MSS Photo 451, Series 1, Box 32, Folder 11, Sleeve 32-11-4, Frame B32-F11-S4-6",1,32,11,32-11-4,B32-F11-S4-6,https://purl.stanford.edu/pf294hz3248
25665_27A_PM.tif,25665_27A_PM,"Rich Page, NeXT co-founder and vice president of digital hardware engineering (center), in conversation.",June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25665, Frame 27A",3,8,25,25665,27A,https://purl.stanford.edu/fh409hz5285
25665_15A_PM.tif,25665_15A_PM,,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25665, Frame 15A",3,8,25,25665,15A,https://purl.stanford.edu/hd872pf9721
25664_32_PM.tif,25664_32_PM,,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25664, Frame 32",3,8,25,25664,32,https://purl.stanford.edu/hr204sc4549
12467_34A_PM.tif,12467_34A_PM,,January 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 24, Sleeve 12467, Frame 34A",3,8,24,12467,34A,https://purl.stanford.edu/gp207zv2961
25666_6A_PM.tif,25666_6A_PM,Canon executives enjoy lunch in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,"June 15, 1989",,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25666, Frame 6A",3,8,25,25666,6A,https://purl.stanford.edu/bp061ny8153
25665_9A_PM.tif,25665_9A_PM,Lunch for NeXT and Canon executives in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25665, Frame 9A",3,8,25,25665,9A,https://purl.stanford.edu/bc524jp9223
25664_7_PM.tif,25664_7_PM,Canon executives in a meeting with NeXT executives shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25664, Frame 7",3,8,25,25664,7,https://purl.stanford.edu/pp916hz5624
25663_23_PM.tif,25663_23_PM,Canon executives in a meeting with NeXT executives shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25663, Frame 23",3,8,25,25663,23,https://purl.stanford.edu/kb851tp3670
25667_3_PM.tif,25667_3_PM,Canon executives enjoy lunch in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,"June 15, 1989",,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25667, Frame 3",3,8,25,25667,3,https://purl.stanford.edu/kx659pp4808
25664_8_PM.tif,25664_8_PM,Canon executives in a meeting with NeXT executives shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25664, Frame 8",3,8,25,25664,8,https://purl.stanford.edu/mz276mv9183
25664_29_PM.tif,25664_29_PM,Steve Jobs in conversation with Canon executives during a meeting shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.,June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25664, Frame 29",3,8,25,25664,29,https://purl.stanford.edu/dg987wx8486
25666_7A_PM.tif,25666_7A_PM,"Steve Jobs, NeXT co-founder (in shirt-sleeves) along with other NeXT executives enjoy lunch with Canon executives in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.","June 15, 1989",,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25666, Frame 7A",3,8,25,25666,7A,https://purl.stanford.edu/dr623nd4026
25667_6_PM.tif,25667_6_PM,"Steve Jobs, NeXT co-founder (left), at lunch with Canon executives in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.","June 15, 1989",,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25667, Frame 6",3,8,25,25667,6,https://purl.stanford.edu/qk017dk8206
25665_33A_PM.tif,25665_33A_PM,"Steve Jobs (center, in sweater vest) and Canon executives shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.",June 1989,,,"MSS Photo 451, Series 3, Box 8, Folder 25, Sleeve 25665, Frame 33A",3,8,25,25665,33A,https://purl.stanford.edu/kn261rz0486
