"Druid","Title","Collection"
"bb066mq0070","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bb077vq3166","Farallon 1989 Jan.-Nov","Douglas Menuez photography collection, circa 1985-2008"
"bb199cd1164","Adobe, #1","Douglas Menuez photography collection, circa 1985-2008"
"bb210jp7571","Kleiner Perkins 1995","Douglas Menuez photography collection, circa 1985-2008"
"bb226by8787","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bb268gq2112","Newton Defying Gravity","Douglas Menuez photography collection, circa 1985-2008"
"bb282wz1977","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bb307js4127","Adobe 1991 #1","Douglas Menuez photography collection, circa 1985-2008"
"bb312ws2533","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bb366cz6674","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bb377ht5194","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bb397vr5473","Adobe, Annual #2","Douglas Menuez photography collection, circa 1985-2008"
"bb449mm0312","Adobe, #1","Douglas Menuez photography collection, circa 1985-2008"
"bb545qb9325","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bb566gp4958","Kleiner Perkins 1992","Douglas Menuez photography collection, circa 1985-2008"
"bb622sg2835","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bb626xk1860","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bb638fr5719","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bb713kz4588","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bb754xy4537","Adobe 1990 #3","Douglas Menuez photography collection, circa 1985-2008"
"bb795bp0843","Kleiner Perkins 1991","Douglas Menuez photography collection, circa 1985-2008"
"bb821pn5664","Adobe 1994 Book 1","Douglas Menuez photography collection, circa 1985-2008"
"bb947bc0834","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bb982fz2112","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bc162gd4593","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bc256fp0684","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bc264bs1952","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bc347bx9887","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bc419vk0641","Adobe 1991","Douglas Menuez photography collection, circa 1985-2008"
"bc443dk9405","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bc522dy8283","Newton 1992 #3","Douglas Menuez photography collection, circa 1985-2008"
"bc524jp9223","NeXT 1989","Douglas Menuez photography collection, circa 1985-2008"
"bc566wv7728","Apple Newton Project 1991-1993","Douglas Menuez photography collection, circa 1985-2008"
"bc677kr8215","Silicon Valley Selects, 1986-1997, Tech Selects 11, John Sculley","Douglas Menuez photography collection, circa 1985-2008"
"bc688ts9016","Farallon, 1991/1992","Douglas Menuez photography collection, circa 1985-2008"
"bc828qw0814","Farallon, 1989","Douglas Menuez photography collection, circa 1985-2008"
"bc921by4865","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bd056bw8991","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bd057cz0580","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bd159cv6444","Kleiner Perkins 1995","Douglas Menuez photography collection, circa 1985-2008"
"bd166mk5184","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bd190cw6212","Adobe Annual 1990","Douglas Menuez photography collection, circa 1985-2008"
"bd208hv7576","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bd214ss9973","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bd244sz8083","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bd266fk8696","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bd336wk2916","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bd405qg2738","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bd419sv9374","Farallon, 1991/1992","Douglas Menuez photography collection, circa 1985-2008"
"bd469fp8820","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bd573zz5303","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bd575gt0667","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bd582dt6472","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bd641qy9268","Sun 1992","Douglas Menuez photography collection, circa 1985-2008"
"bd705px4974","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bd734jd7273","Adobe Color 1990","Douglas Menuez photography collection, circa 1985-2008"
"bd760km4151","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bd763pp6251","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bd834hc2158","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bd845sj0735","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bd859qk8886","Silicon Valley Selects, 1986-1997, Tech Selects 8, Farallon Tech Project A","Douglas Menuez photography collection, circa 1985-2008"
"bd860vq7426","IBM","Douglas Menuez photography collection, circa 1985-2008"
"bd874kr0572","Kleiner, Perkins Caulfield and Byers","Douglas Menuez photography collection, circa 1985-2008"
"bd885dk6905","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bf155rm6121","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bf215wc7862","Farallon B","Douglas Menuez photography collection, circa 1985-2008"
"bf243tf2853","Adobe, Color","Douglas Menuez photography collection, circa 1985-2008"
"bf400gm5461","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bf468bp6307","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bf618my8546","Newton Launch Boston","Douglas Menuez photography collection, circa 1985-2008"
"bf631vh9465","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bf635yy0615","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bf678cq7231","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bf710hv7438","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bf713hr0036","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bf744mn2375","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bf770mh7547","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bf807gg2882","Silicon Valley Selects, 1986-1997, Tech Selects 7, Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bf885gm8846","Newton 1993 #3","Douglas Menuez photography collection, circa 1985-2008"
"bg016fy8433","NeXT, 1986-1987","Douglas Menuez photography collection, circa 1985-2008"
"bg044vg7489","Sun 1992","Douglas Menuez photography collection, circa 1985-2008"
"bg077sz9586","IBM Fishkill","Douglas Menuez photography collection, circa 1985-2008"
"bg114mm5094","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bg130st5966","Kleiner Perkins 1992","Douglas Menuez photography collection, circa 1985-2008"
"bg186gd9369","NeXT 1991","Douglas Menuez photography collection, circa 1985-2008"
"bg189js6605","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bg197bp5892","Kleiner, Perkins Caulfield and Byers","Douglas Menuez photography collection, circa 1985-2008"
"bg221jm1302","Sun Microsystems, 1992, #2, Water Fight Outs","Douglas Menuez photography collection, circa 1985-2008"
"bg313vw6084","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bg337jv7536","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bg383ck3277","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bg433ng0067","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bg456qx6154","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bg528cw5948","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bg610yn3668","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bg758gg8545","Silicon Valley Selects, 1986-1997, Tech Selects 8, Farallon Tech Project A","Douglas Menuez photography collection, circa 1985-2008"
"bg787rd5403","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bg862zf1070","Apple Computer 1996","Douglas Menuez photography collection, circa 1985-2008"
"bg882vr9986","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bg894ff7954","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bg909kh6979","Adobe 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bh137rz6875","IBM New York - Executive Arts","Douglas Menuez photography collection, circa 1985-2008"
"bh159yr3315","Newton 1992 #3","Douglas Menuez photography collection, circa 1985-2008"
"bh202jt1544","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bh212bj7078","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bh241gg9707","Newton 1993 #4","Douglas Menuez photography collection, circa 1985-2008"
"bh245jv8874","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bh337mt5461","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bh352vt9974","IBM New York - Executive Arts","Douglas Menuez photography collection, circa 1985-2008"
"bh377hn4510","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bh499gz8687","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bh501br9448","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bh543zv8779","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bh550rj7690","Sun Microsystems, 1992, #2, Water Fight Outs","Douglas Menuez photography collection, circa 1985-2008"
"bh587zm9976","Apple / The New Mac","Douglas Menuez photography collection, circa 1985-2008"
"bh620qj3664","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bh678pm7703","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bh719wt4523","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bh735py8362","Adobe, #1","Douglas Menuez photography collection, circa 1985-2008"
"bh793yk0520","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bh797dx8912","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bh825yv0523","Farallon 1990 Jan.-June","Douglas Menuez photography collection, circa 1985-2008"
"bh890jf4394","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bh914zr9449","Silicon Valley Selects, 1986-1997, Tech Selects 5, NetObjects, 1994","Douglas Menuez photography collection, circa 1985-2008"
"bh925sj4966","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bh949cw2332","Apple 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bh955xr8014","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bh994xx6247","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bj044by6257","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bj050wp4753","Super Mac","Douglas Menuez photography collection, circa 1985-2008"
"bj078xq5756","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bj086nq2110","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bj389my6178","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bj440tr6997","Kleiner Perkins 1992","Douglas Menuez photography collection, circa 1985-2008"
"bj525xh5268","Apple 1990-1991 #1","Douglas Menuez photography collection, circa 1985-2008"
"bj551kw9439","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bj555tp9053","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
