"filename","permalink","caption","ignore"
"bd363jc1625","https://purl.stanford.edu/bd363jc1625","2 young girls, standing in front of cabinet","2"
"bd452mz4222","https://purl.stanford.edu/bd452mz4222","White wedding - group photo","1"
"bd639nv7606","https://purl.stanford.edu/bd639nv7606","Woman in costume, seated in chair","2"
"bf893dw3297","https://purl.stanford.edu/bf893dw3297","Young man in costume, holding fan","2"
"bg467xx7942","https://purl.stanford.edu/bg467xx7942","Woman standing in front of lotus backdrop","2"
"bj338jn2856","https://purl.stanford.edu/bj338jn2856","Stage scene with coffin featuring actors Kwan Ying Lin and Nü Muzhen","2"
"bj356mh7176","https://purl.stanford.edu/bj356mh7176","Portrait of an actor in traditional Chinese theater costume (hand-colored photographic print, embellished with glitter)","1"
"bj915sq8696","https://purl.stanford.edu/bj915sq8696","Young girl leaning against rocks","2"
"bm490tz3991","https://purl.stanford.edu/bm490tz3991","Scrapbook page-People seated in an auditorium","2"
"bn440nj1796","https://purl.stanford.edu/bn440nj1796","Young costumed woman, seated, left elbow on table","2"
"bp173nr4145","https://purl.stanford.edu/bp173nr4145","Actress with scroll","2"
"bp408tk4562","https://purl.stanford.edu/bp408tk4562","Portrait of a boy","1"
"bw745ks8180","https://purl.stanford.edu/bw745ks8180","Actor as a general holding halberd and whip","1"
"bw997sn3386","https://purl.stanford.edu/bw997sn3386","Color transparency-couple","1"
"by509ff5598","https://purl.stanford.edu/by509ff5598","Actor, posed, feet apart, left hand up, holding object","2"
"cc697zp2327","https://purl.stanford.edu/cc697zp2327","Portrait of an actor/actress in traditional Chinese theater costume in front of wall backdrop (hand-colored photographic print, embellished with glitter)","1"
"cd211wz3395","https://purl.stanford.edu/cd211wz3395","Building exterior-5th annual convention of the Hop Sing Tong","2"
"cd463vz4546","https://purl.stanford.edu/cd463vz4546","Actor in a comic role with outstretched foot","2"
"ck945pd0078","https://purl.stanford.edu/ck945pd0078","Cheng Hsin-pei as a general wearing a tiger head apron and holding a whip","2"
"cm785fb5328","https://purl.stanford.edu/cm785fb5328","Standing actor with mask and garden backdrop","2"
"cp083zg6665","https://purl.stanford.edu/cp083zg6665","Two women in a dungeon with two heroes looking on","2"
"cp193pc3418","https://purl.stanford.edu/cp193pc3418","Tam Yuk-lan in bathing costume","2"
"cr472yp2660","https://purl.stanford.edu/cr472yp2660","Standing actor with a fan - copy print","1"
"cs148rc7979","https://purl.stanford.edu/cs148rc7979","Woman in contemporary dress with 3 male actors by a tomb-stage","2"
"cs701cw2329","https://purl.stanford.edu/cs701cw2329","Young girl in light colored dress, leaning against rocks","2"
"cv411rd8120","https://purl.stanford.edu/cv411rd8120","Stage scene - battle","2"
"cw700nx5234","https://purl.stanford.edu/cw700nx5234","American Chinese School of Aviation first graduating class","2"
"cx973sg1451","https://purl.stanford.edu/cx973sg1451","Scrapbook page--Side 1: May's Studio plaques signed by Mei Lanfang and Qi Rushan; Side 2: women's swimsuit styles, 1917-1926","2"
"cz413dk0901","https://purl.stanford.edu/cz413dk0901","Man, with long black beard","2"
"dc265nd6480","https://purl.stanford.edu/dc265nd6480","Stage scene - Escape of Sun Yat-Sen and Soong Ching Ling from Canton by ship","2"
"dd000kr8250","https://purl.stanford.edu/dd000kr8250","Standing actor with floral headdress","2"
"dd980bt8575","https://purl.stanford.edu/dd980bt8575","Standing actor with trees and stick","2"
"dh338rp3500","https://purl.stanford.edu/dh338rp3500","Portrait of four men in suits","2"
"dj425bk6662","https://purl.stanford.edu/dj425bk6662","Four men seated at the National Herb Institute of China storefront","2"
"dj870cb2410","https://purl.stanford.edu/dj870cb2410","Actress with water sleeves","2"
"dk464zm5246","https://purl.stanford.edu/dk464zm5246","Seated men by a trophy cabinet with labeled names","2"
"dk507jr2671","https://purl.stanford.edu/dk507jr2671","Actress Sew Jow Lee with headdress and long scarf","2"
"dp343bm2968","https://purl.stanford.edu/dp343bm2968","Young woman, standing right hand on stomach","2"
"dq280zq2115","https://purl.stanford.edu/dq280zq2115","Theatrical backdrop-Grave of the 72 martyrs of the Second Guangzhou Uprising","2"
"ds938wv6980","https://purl.stanford.edu/ds938wv6980","Shing Shun Exporters- storefront","1"
"dt333yk3856","https://purl.stanford.edu/dt333yk3856","Standing actor with raised arms","2"
"dw929cr8019","https://purl.stanford.edu/dw929cr8019","Man standing holding out fan, cloudy background","2"
"dy115wh9364","https://purl.stanford.edu/dy115wh9364","Young girl both hands on right hip","2"
"dy931rz6764","https://purl.stanford.edu/dy931rz6764","Actress with crossed legs and finger on chin","2"
"dz092tv0758","https://purl.stanford.edu/dz092tv0758","Actor  in the role of a hua dan","2"
"dz318px9673","https://purl.stanford.edu/dz318px9673","Woman in costume seated on log","2"
"dz594cm8369","https://purl.stanford.edu/dz594cm8369","Woman standing with hand on table","2"
"ff390kt8089","https://purl.stanford.edu/ff390kt8089","Actor with fan and book standing in front of backdrop with building and potted flowers","2"
"ff457dg5425","https://purl.stanford.edu/ff457dg5425","Actor with hand on hip and duck bill headdress","1"
"fg076km4909","https://purl.stanford.edu/fg076km4909","Two costumed women, holding long objects, woman on the right slightly blurred","2"
"fg572cf3879","https://purl.stanford.edu/fg572cf3879","Mok Huk Ming mural - rooster (painted canvas on board)","1"
"fg757ry1073","https://purl.stanford.edu/fg757ry1073","Standing actor with staff and legs apart","2"
"fg889rg3654","https://purl.stanford.edu/fg889rg3654","Young girl seated with elbow propped on table","2"
"fh438qs7976","https://purl.stanford.edu/fh438qs7976","Kwai Fer Mui with water sleeves standing with one arm behind the head","1"
"fh459gk7031","https://purl.stanford.edu/fh459gk7031","Standing actress with water sleeves","2"
"fm948gp0568","https://purl.stanford.edu/fm948gp0568","Two young ladies, leaning on flowered trellis","2"
"fn243tk2513","https://purl.stanford.edu/fn243tk2513","Group photo - members of the KMT US branch","1"
"fp412dr7284","https://purl.stanford.edu/fp412dr7284","Students from Puerto Rico? - group photo","1"
"fq082nf1820","https://purl.stanford.edu/fq082nf1820","Man, twirling mustache","2"
"fq113rp2233","https://purl.stanford.edu/fq113rp2233","stage scene--person in tree with two men below","2"
"fq377vy4910","https://purl.stanford.edu/fq377vy4910","Standing actor-woman with raised knee","2"
"fr182qp6193","https://purl.stanford.edu/fr182qp6193","Actress with spear","2"
"fr276bn5441","https://purl.stanford.edu/fr276bn5441","Standing woman with fan and head wrap","2"
"ft846tp7930","https://purl.stanford.edu/ft846tp7930","Chinese wedding- outdoor group shot","1"
"fx229kd8832","https://purl.stanford.edu/fx229kd8832","Identity certificate- Lee Sai Kai","2"
"gk389qv3374","https://purl.stanford.edu/gk389qv3374","Actress Hua Chi-mei standing with hand resting on table","2"
"gn845rd6023","https://purl.stanford.edu/gn845rd6023","Young girl, long hair, pagoda and flower pots background","2"
"gq581fm9499","https://purl.stanford.edu/gq581fm9499","Woman in costume, hand on trellis","2"
"gq590fg1363","https://purl.stanford.edu/gq590fg1363","Young woman, posed in front of pagoda, wearing long silk robes","2"
"gq611pn1553","https://purl.stanford.edu/gq611pn1553","Banquet--Korean representatives","1"
"gs280ck7238","https://purl.stanford.edu/gs280ck7238","Woman holding fan","2"
"gs561tm9353","https://purl.stanford.edu/gs561tm9353","Actress with basket (hand on hip)","2"
"gs895jv1796","https://purl.stanford.edu/gs895jv1796","Woman, large head piece standing shoulder width apart, holding long object","2"
"gt339ss4722","https://purl.stanford.edu/gt339ss4722","Woman standing with peacock feather fan","2"
"gt472pt3769","https://purl.stanford.edu/gt472pt3769","Young man holding double ended sword","2"
"gv023gh5424","https://purl.stanford.edu/gv023gh5424","Actress with fan and headress","2"
"gv095dh6420","https://purl.stanford.edu/gv095dh6420","Young woman, beaded costume, pursed lips, river background","2"
"gv562hz0838","https://purl.stanford.edu/gv562hz0838","5 inset photos-young girl","1"
"gx130dg0786","https://purl.stanford.edu/gx130dg0786","Theatre scene - actors holding flags","2"
"hb574yk4395","https://purl.stanford.edu/hb574yk4395","Children - group photo on steps of school","1"
"hc091gh9679","https://purl.stanford.edu/hc091gh9679","stage scene--Chinese fighting Japanese with Japanese general in tent looking on","1"
